indicator_id,name,measure,how_calculated,source_list
821,Upper Limb Deficiencies,Prevalence,"<p><span>Number of live births diagnosed with upper limb deficiencies and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
809,Lower Limb Deficiencies,Prevalence,"<p><span>Number of live births diagnosed with lower limb deficiencies and reported the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
799,Anencephaly,Prevalence,"<p>Number of live births diagnosed with anencephaly and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</p>",New York State Congenital Malformations Registry (CMR)
811,Spina Bifida (without Anencephaly),Prevalence,"<p><span>Number of live births diagnosed with spina bifida (without anencephaly) and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
797,"Hypoplastic Left Heart Syndrome ",Prevalence,"<p>Number of live births diagnosed with hypoplastic left heart syndrome and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</p>",New York State Congenital Malformations Registry (CMR)
815,"Transposition of the Great Arteries (Vessels) ",Prevalence,"<p><span>Number of live births diagnosed with transposition of the great arteries and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
803,"Cleft Lip with or without Cleft Palate ",Prevalence,"<p>Number of live births diagnosed with cleft lip with or without cleft palate and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</p>",New York State Congenital Malformations Registry (CMR)
801,"Cleft Palate without Cleft Lip ",Prevalence,"<p>Number of live births diagnosed with cleft palate without cleft lip and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</p>",New York State Congenital Malformations Registry (CMR)
807,"Hypospadias ",Prevalence,"<p>Number of live births diagnosed with hypospadias and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</p>",New York State Congenital Malformations Registry (CMR)
805,"Gastroschisis ",Prevalence,"<p>Number of live births diagnosed with gastroschisis and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</p>",New York State Congenital Malformations Registry (CMR)
107,Ozone,Days above Regulatory Standard,Ozone concentrations are measured continuously and averaged over each 8-hour period. This measure is the annual number of days with a maximum level above the U.S. standard (0.075 ppm) in the geographic area.,United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
786,Fine Particulate Matter (PM 2.5),Days above Regulatory Standard,Number of days in the year for which values were reported higher than the U.S. standard (35 ug/m3) in the geographic area.,United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
111,Fine Particulate Matter (PM 2.5),Annual Average,"This measure is calculated by averaging PM2.5 levels at each monitor, weighted by the number of samples in each quarter, then taking the weighted average of all monitors in the geographic area.",United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
200,Air Quality Advisory Days,General Population,"An AQI value of 100 corresponds to the current U.S. standard for a pollutant (0.075 ppm for ozone, 35 ug/m3 for PM2.5), and deviations from the standard are expressed as the pollutant concentration divided by the standard and multiplied by 100. Advisory days for the general public are counted when either ozone or PM2.5 levels are above 150.",United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
201,Air Quality Advisory Days,Sensitive Groups,"An AQI value of 100 corresponds to the current U.S. standard for a pollutant (0.075 ppm for ozone, 35 ug/m3 for PM2.5), and deviations from the standard are expressed as the pollutant concentration divided by the standard and multiplied by 100. Advisory days for sensitive groups are counted when either ozone or PM2.5 levels are above 100.",United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
785,Fine Particulate Matter (PM 2.5),Sensitive Groups,"The 98th percentile 24-hour value, in micrograms per cubic meter. This value is higher than 98 percent of 24-hour values for the year.",United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
787,Ozone,Sensitive Groups,"An AQI value of 100 corresponds to the current U.S. standard for ozone (0.075 ppm), and deviations from the standard are expressed as the pollutant concentration divided by the standard and multiplied by 100. Advisory days for sensitive groups are counted when ozone levels are above 100.",United States Environmental Protection Agency (EPA); United States Environmental Protection Agency (EPA) Air Quality System (AQS) Data
206,Commercial Use of Insecticides,Liquid Products,"Sum of gallons of liquid pesticide applications that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide.",New York State Pesticide Sales and Use Registry (PSUR)
209,Commercial Use of Herbicides,Liquid Products,"Sum of gallons of liquid pesticide applications that meet the following qualifications: classified as fertilizer, herbicide, defoliant, herbicide terrestrial, herbicide aquatic, or plant growth regulator.",New York State Pesticide Sales and Use Registry (PSUR)
686,Commercial Use of Fungicides,Liquid Products,"Sum of gallons of liquid pesticide applications that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide.  Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.",New York State Pesticide Sales and Use Registry (PSUR)
212,Commercial Use of Insecticides (Organophosphate),Liquid Products,"Sum of gallons of liquid pesticide applications that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; and containing active ingredient of the chemical class organophosphorous compound.",New York State Pesticide Sales and Use Registry (PSUR)
214,Commercial Use of Insecticides (Pyrethroid/Pyrethrin),Liquid Products,"Sum of gallons of liquid pesticide applications that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, or termiticide; and containing active ingredient of the chemical class pyrethrin or pyrethroid.",New York State Pesticide Sales and Use Registry (PSUR)
